"post_id","party_name","case_number","case_type","case_status","file_date","status_date"
320938,Middlesex Savings Bank,"1081CV01163",Real Property,Closed,20100326,20100608
322324,Middlesex Savings Bank,"1081CV01164",Real Property,Closed,20100326,20100608
1357386,Middlesex Savings Bank,"1449CV000456",Civil,Disposed (Statistical Purposes),20140725,20141028
1383031,Middlesex Savings Bank,"1449CV000476",Civil,Disposed (Statistical Purposes),20140730,20150205
2094226,Middlesex Savings Bank,"1157SP000210",Supplementary Process,Disposed (Statistical Purposes),20110518,20110825
2516445,Middlesex Savings Bank,"1187CV000147",Civil,Disposed (Statistical Purposes),20110725,20120315
2682235,Middlesex Savings Bank,"1149SP000361",Supplementary Process,Disposed (Statistical Purposes),20110802,20120426
2800041,Middlesex Savings Bank,"1187CV000170",Civil,Disposed (Statistical Purposes),20110826,20110912
2803123,Middlesex Savings Bank,"1187CV000171",Civil,Disposed (Statistical Purposes),20110826,20111117
2805805,Middlesex Savings Bank,"1187CV000172",Civil,Disposed (Statistical Purposes),20110826,20111027
2977878,Middlesex Savings Bank,"1187SC000268",Small Claims,Disposed (Statistical Purposes),20110913,20111214
3046896,Middlesex Savings Bank,"1187CV000192",Civil,Disposed (Statistical Purposes),20110923,20111202
3153869,Middlesex Savings Bank,"1449SC001342",Small Claims,Disposed (Statistical Purposes),20141024,20150205
3432279,Middlesex Savings Bank,"1449CV000691",Civil,Pending,20141117,20141117
3477378,Middlesex Savings Bank,"1181CV00280",Real Property,Closed,20110128,20110323
3563876,Middlesex Savings Bank,"1449SC001473",Small Claims,Disposed (Statistical Purposes),20141128,20150501
3634246,Middlesex Savings Bank,"1085CV00323",Real Property,Closed,20100211,20100409
3916437,Middlesex Savings Bank,"1085CV00604",Real Property,Closed,20100317,20100505
4086392,Middlesex Savings Bank,"1287CV000142",Civil,Disposed (Statistical Purposes),20120814,20131016
4337369,Middlesex Savings Bank,"1181CV01480",Real Property,Closed,20110429,20111216
4969026,Middlesex Savings Bank,"14 MISC 484018",Servicemembers,Closed,20140602,20140805
5211619,Middlesex Savings Bank,"1381CV00754",Real Property,Closed,20130304,20130502
5587522,Middlesex Savings Bank,"1381CV01168",Real Property,Closed,20130404,20130620
5755599,Middlesex Savings Bank,"1367CV000269",Civil,Disposed (Statistical Purposes),20130725,20131011
5852549,Middlesex Savings Bank,"1381CV01699",Real Property,Closed,20130509,20130731
5980813,Middlesex Savings Bank,"1367CV000348",Civil,Disposed (Statistical Purposes),20130927,20131125
6281381,Middlesex Savings Bank,"1162CV001685",Civil,Disposed (Statistical Purposes),20110802,20110919
6767743,Middlesex Savings Bank,"1181CV02498",Real Property,Closed,20110715,20111014
6842079,Middlesex Savings Bank,"1385CV01674",Real Property,Closed,20130919,20131219
6971599,Middlesex Savings Bank,"1285CV01326",Real Property,Closed,20120703,20120817
7017584,Middlesex Savings Bank,"1285CV01478",Real Property,Closed,20120726,20120928
7282279,Middlesex Savings Bank,"1447CV000309",Civil,Disposed (Statistical Purposes),20140923,20141222
7295316,Middlesex Savings Bank,"1447SC000549",Small Claims,Disposed (Statistical Purposes),20140929,20150526
7322767,Middlesex Savings Bank,"1185CV01490",Real Property,Closed,20110802,20110914
7329145,Middlesex Savings Bank,"1185CV01518",Real Property,Closed,20110805,20110927
7461632,Middlesex Savings Bank,"1185CV02424",Contract / Business Cases,Open,20111202,20130515
7491833,Middlesex Savings Bank,"1185CV02624",Real Property,Closed,20111229,20120214
7558146,Middlesex Savings Bank,"1454CV000580",Civil,Disposed (Statistical Purposes),20140813,20141010
7719277,Middlesex Savings Bank,"1173CV00128",Real Property,Closed,20110207,20110407
7777895,Middlesex Savings Bank,"1257CV000664",Civil,Disposed (Statistical Purposes),20121105,20130313
8061498,Middlesex Savings Bank,"1081CV00374",Real Property,Closed,20100129,20100520
8095573,Middlesex Savings Bank,"1464SC001655",Small Claims,Disposed (Statistical Purposes),20141024,20150422
8431657,Middlesex Savings Bank,"1285CV00350",Contract / Business Cases,Closed,20120216,20121127
8533772,Middlesex Savings Bank,"1285CV00817",Contract / Business Cases,Closed,20120425,20121206
8875683,Middlesex Savings Bank,"1148SP000226",Supplementary Process,Disposed (Statistical Purposes),20110808,20111025
9163622,Middlesex Savings Bank,"1136CV000198",Civil,Disposed (Statistical Purposes),20110217,20110412
9237050,Middlesex Savings Bank,"1467SC001106",Small Claims,Disposed (Statistical Purposes),20141002,20150506
9294397,Middlesex Savings Bank,"1148CV000458",Civil,Disposed (Statistical Purposes),20110919,20111202
