,post_id,party_name,case_number,case_type,case_status,file_date,status_date
0,5730833,Merrimack College C/O Glenn Associates,1338SC000790,Small Claims,Disposed (Statistical Purposes),20130710,20140214
1,18072914,Suffolk University c/o Glenn Associates,1402SC000008,Small Claims,Disposed (Statistical Purposes),20140108,20140325
2,19510906,Suffolk University c/o Glenn Associates,1306SC000859,Small Claims,Disposed (Statistical Purposes),20130709,20131105
3,22016133,Suffolk University c/o Glenn Associates,1502SC000587,Small Claims,Disposed (Statistical Purposes),20150626,20151029
4,22153696,Suffolk University c/o Glenn Associates,1515SC002906,Small Claims,Pending,20151007,20151007
5,22931612,Suffolk University c/o Glenn Associates,1514SC001589,Small Claims,Disposed (Statistical Purposes),20151005,20151216
6,29810388,Suffolk University c/o Glenn Associates,1513SC001478,Small Claims,Disposed (Statistical Purposes),20150625,20150730
7,33383579,Suffolk University c/o Glenn Associates,0686SC000839,Small Claims,Disposed (Statistical Purposes),20060725,20060919
8,67240276,Suffolk University c/o Glenn Associates,1350SC000102,Small Claims,Disposed (Statistical Purposes),20130123,20130402
9,20481387,Northeatern University C/O Glenn Associates,0602SC000696,Small Claims,Pending,20060727,20060727
10,20485158,Northeastern University C/O Glenn Associates,0602SC000702,Small Claims,Disposed (Statistical Purposes),20060727,20061023
11,27339880,Simmons College c/o Glenn Associates,1550SC002142,Small Claims,Disposed (Statistical Purposes),20151001,20160226
12,29843059,Simmons College c/o Glenn Associates,1513SC001477,Small Claims,Disposed (Statistical Purposes),20150625,20150730
13,80785517,Simmons College c/o Glenn Associates,1515SC131477,Small Claims,Suspended Covid 19 extended,20191113,20191219
