,post_id,party_name,case_number,case_type,case_status,file_date,status_date
0,248628,TMS Pellet Stove Services / Todd M. Sherman,1427SC001218,Small Claims,Disposed (Statistical Purposes),20141006,20150109
1,325755,"SMS Services, Inc.",1418CV000712,Civil,Disposed (Statistical Purposes),20140717,20141003
2,29482833,"SMS Services, Inc.",0818SC001699,Small Claims,Disposed (Statistical Purposes),20080805,20090112
3,48346504,"SMS Services, Inc.",1559CV000179,Civil,Pending,20150312,20150312
4,52751423,"SMS Services, Inc.",0818CV001986,Civil,Disposed (Statistical Purposes),20080904,20090513
5,71125958,"SMS Services, Inc.",1681CV01521,Contract / Business Cases,Open,20160526,20160526
6,81210807,"SMS Services, Inc.",2218CV000034,Civil,Open,20220120,20220120
7,81428203,"SMS Services, Inc.",2132CV000630,Civil,Open,20210907,20210907
8,85741593,"SMS Services, Inc.",1810SP000107,Supplementary Process,Disposed (Statistical Purposes),20181224,20190213
9,89005093,"SMS Services, Inc.",1781CV02862,Contract / Business Cases,Suspended,20171002,20180314
10,2342664,"City of Worcester, Imspectional Services",13H85CV000630,Housing Court Civil,Active,20130821,20130821
11,5947485,"Sedgwick Claims Management Services, Inc.",1253SP000040,Supplementary Process,Disposed (Statistical Purposes),20120118,20120604
12,7698765,"Sedgwick Claims Management Services, Inc.",1262CV000631,Civil,Disposed (Statistical Purposes),20120410,20140204
13,14317496,"Sedgwick Claims Management Services, Inc.",1153CV000800,Civil,Disposed (Statistical Purposes),20110608,20110922
14,22655020,"Sedgwick Claims Management Services, Inc.",0549CV000311,Civil,Disposed (Statistical Purposes),20050420,20050812
15,27016158,"Sedgwick Claims Management Services, Inc.",0512CV000079,Civil,Disposed (Statistical Purposes),20050224,20070119
16,27112492,"Sedgwick Claims Management Services, Inc.",0654CV001112,Civil,Disposed (Statistical Purposes),20061027,20071015
17,28626010,"Sedgwick Claims Management Services, Inc.",0586CV000112,Civil,Disposed (Statistical Purposes),20050228,20050506
18,29377713,"Sedgwick Claims Management Services, Inc.",0536CV000627,Civil,Disposed (Statistical Purposes),20050613,20051107
19,34557352,"Sedgwick Claims Management Services, Inc.",0559CV000789,Civil,Disposed (Statistical Purposes),20050922,20060216
20,36273976,"Sedgwick Claims Management Services, Inc.",0623CV000776,Civil,Disposed (Statistical Purposes),20060327,20060623
21,38011357,"Sedgwick Claims Management Services, Inc.",0553CV000953,Civil,Disposed (Statistical Purposes),20050831,20070822
22,38414056,"Sedgwick Claims Management Services, Inc.",0562CV001856,Civil,Disposed (Statistical Purposes),20050923,20060801
23,40042769,"Sedgwick Claims Management Services, Inc.",1562CV001184,Civil,Disposed (Statistical Purposes),20150908,20151014
24,45506246,"Sedgwick Claims Management Services, Inc.",0523CV001431,Civil,Disposed (Statistical Purposes),20050614,20060913
25,3897184,"MSW Capital, LLC assignee of HSBC Card Services, Inc.",1365SC000596,Small Claims,Disposed (Statistical Purposes),20131029,20140305
26,6424057,"MSW Capital, LLC assignee of HSBC Card Services, Inc.",1315CV001328,Civil,Disposed (Statistical Purposes),20130819,20131009
27,12169854,"MSW Capital, LLC assignee of HSBC Card Services, Inc.",1369SC000432,Small Claims,Disposed (Statistical Purposes),20130722,20140415
28,5864355,"Systems Analysis Services, Inc",1012SC000417,Small Claims,Pending,20100826,20100826
29,32118622,"Systems Analysis Services, Inc",0612SC000456,Small Claims,Disposed (Statistical Purposes),20060703,20061012
30,32243688,"Systems Analysis Services, Inc",0712SC000453,Small Claims,Disposed (Statistical Purposes),20070629,20070724
31,32960754,"Systems Analysis Services, Inc",0812SC000019,Small Claims,Disposed (Statistical Purposes),20080110,20080226
32,33291146,"Systems Analysis Services, Inc",0912SC000153,Small Claims,Disposed (Statistical Purposes),20090306,20090320
33,36469180,"Systems Analysis Services, Inc",0912SC000254,Small Claims,Disposed (Statistical Purposes),20090413,20090522
34,6125319,"Trinity EMS, Inc. c/o Stevens Business Services",1311SP000782,Supplementary Process,Pending,20131118,20131118
35,6374817,"Systems Analysis Services, Inc.",1012CV000615,Civil,Disposed (Statistical Purposes),20101203,20110623
36,13798575,"Systems Analysis Services, Inc.",1412SC000383,Small Claims,Disposed (Statistical Purposes),20140804,20140919
37,32114948,"Systems Analysis Services, Inc.",0912CV000475,Civil,Disposed (Statistical Purposes),20090904,20100317
38,32323029,"Systems Analysis Services, Inc.",1512SC000059,Small Claims,Disposed (Statistical Purposes),20150126,20150408
39,36126803,"Systems Analysis Services, Inc.",0936SC000408,Small Claims,Disposed (Statistical Purposes),20090311,20090619
40,37283998,"Systems Analysis Services, Inc.",0812CV000672,Civil,Disposed (Statistical Purposes),20081224,20090603
41,7727757,"Jefferson Capital Systems, LLC as assignee of Automotive Capital Finance, LLC as assignee of Ameristar Financial Servicing Company, LLC as assignee of Chrysler Financial Services Americas, LLC",1251CV000609,Civil,Disposed (Statistical Purposes),20121106,20130103
42,7995637,"MSW Capital,LLC assig. HSBC Card Services,Inc.",1220SC000275,Small Claims,Disposed (Statistical Purposes),20120412,20120807
43,37057846,"Sedgwick Claims Management Services, Inc",0551CV000664,Civil,Disposed (Statistical Purposes),20050927,20051027
44,10185841,"Small Water Systems Services, LLC",1148CV000580,Civil,Disposed (Statistical Purposes),20111221,20120608
45,10696934,Sedgwick Claims Management Services,1312CV000354,Civil,Disposed (Statistical Purposes),20131226,20140211
46,14792534,Sedgwick Claims Management Services,1412SP000049,Supplementary Process,Disposed (Statistical Purposes),20140623,20151028
47,35955761,Sedgwick Claims Management Services,0836CV000637,Civil,Disposed (Statistical Purposes),20080505,20090219
48,36075714,Sedgwick Claims Management Services,0523CV002373,Civil,Disposed (Statistical Purposes),20050923,20070111
49,10773843,"MSW Capital, LLC Assilgnee of HSBC Card Services, Inc.",1415SP000020,Supplementary Process,Disposed (Statistical Purposes),20140113,20140328
0,11007983,"Systems and Services Technologies, Inc. As Authorized Servicing Agent for Medallion Bank",1415CV000124,Civil,Closed,20140124,20140414
1,87067230,"Systems and Services Technologies, Inc. As Authorized Servicing Agent for Medallion Bank",1977CV00341,Equitable Remedies,Open,20190313,20190313
2,87653322,"Systems and Services Technologies, Inc. As Authorized Servicing Agent for Medallion Bank",1981CV00629,Equitable Remedies,Open,20190306,20190306
3,13306261,"MSW Caoital,LLC assignee of HSBC Card Services,Inc.",1320SC000539,Small Claims,Disposed (Statistical Purposes),20130726,20131119
4,31829369,Sedgwick Claims Management Services Inc,0522CV000336,Civil,Disposed (Statistical Purposes),20050922,20060718
5,14325663,Town of Williamstown Department of Inspection Services,11H79CV000089,Housing Court Civil,Closed,20110126,20110209
6,14354476,"MSW Capital, LLC, assignee of HSCB Card Services, Inc.",1387CV000113,Civil,Disposed (Statistical Purposes),20130816,20131016
7,15004949,No. Adams Cleaning Services,1228SC000455,Small Claims,Disposed (Statistical Purposes),20120905,20121012
8,15500817,North Adams Cleaning Services,1428SC000205,Small Claims,Disposed (Statistical Purposes),20140423,20140430
9,33503998,North Adams Cleaning Services,0728SC000104,Small Claims,Disposed (Statistical Purposes),20070129,20070423
10,47782325,North Adams Cleaning Services,1128SC000350,Small Claims,Disposed (Statistical Purposes),20110708,20110819
11,15652810,"MSW Capital, LLC, assigness of HSBC Retail Card Services",1226SC000299,Small Claims,Closed (Transferred),20120410,20140814
12,63757194,Helmsman Management Services LLC,1684CV02815,Torts,Closed,20160909,20161025
13,83322316,Helmsman Management Services LLC,2076CV00019,Torts,Open,20200122,20200122
14,76460627,SMS Services Inc,0677CV02451,Contract / Business Cases,Closed,20061229,20080311
15,19353700,"Safety Claims & Litigation Services, LLC",1281CV04038,Contract / Business Cases,Closed,20121011,20140616
16,19618825,Systems and Services Technologies Inc,1077CV01862,Contract / Business Cases,Closed,20100901,20110210
17,72090164,Systems and Services Technologies Inc,0685CV00132,Administrative Civil Actions,Closed,20060123,20071004
18,73221864,Systems and Services Technologies Inc,0582CV00957,Equitable Remedies,Open,20050714,20070105
19,74536037,Systems and Services Technologies Inc,0585CV01028,Administrative Civil Actions,Closed,20050606,20050808
20,19631854,Systems Analysis Services Incorporated,1181CV03707,Contract / Business Cases,Closed,20111019,20140314
21,19676527,Asset Marketing Systems Insurance Services LLC,1285CV01872,Administrative Civil Actions,Open,20120912,20121219
22,74377904,Asset Marketing Systems Insurance Services LLC,1282CV00933,Administrative Civil Actions,Closed,20120531,20120905
23,20880500,Chelmsford Dental Services,0648SP000175,Supplementary Process,Disposed (Statistical Purposes),20061102,20070110
24,63207554,Chelmsford Dental Services,0611CV001023,Civil,Disposed (Statistical Purposes),20060510,20060721
25,21176694,Teamsters Union 25 Health Services & Insurance Plan,0904CV000103,Civil,Disposed (Statistical Purposes),20091104,20120210
26,21521090,Lattitude Claims Services,0509CV000204,Civil,Disposed (Statistical Purposes),20050831,20051207
27,21558981,Armstrong Ambulance Services Inc,0852SC000766,Small Claims,Disposed (Statistical Purposes),20080527,20080807
28,24069578,Armstrong Ambulance Services Inc,0854SC000718,Small Claims,Disposed (Statistical Purposes),20080527,20080729
29,24482606,Armstrong Ambulance Services Inc,0952SC000406,Small Claims,Disposed (Statistical Purposes),20090316,20090514
30,46980308,Armstrong Ambulance Services Inc,0852SC001267,Small Claims,Disposed (Statistical Purposes),20080826,20080917
31,50766215,Armstrong Ambulance Services Inc,0915SC000222,Small Claims,Disposed (Statistical Purposes),20090115,20090323
32,21562823,Armstrong Ambuland Services Inc,0852SC000767,Small Claims,Disposed (Statistical Purposes),20080527,20080807
33,22900981,"Systems Elctrical Services, Inc.",0914SC001647,Small Claims,Disposed (Statistical Purposes),20091112,20100107
34,23784250,"Jefferson Capital Systems, LLC assignee of Consumer Portfolio Services",1520SC000139,Small Claims,Disposed (Statistical Purposes),20150225,20150721
35,48684450,"Jefferson Capital Systems, LLC assignee of Consumer Portfolio Services",1632CV000270,Civil,Pending,20160415,20160415
36,65430419,"Jefferson Capital Systems, LLC assignee of Consumer Portfolio Services",1632SP000102,Supplementary Process,Disposed (Statistical Purposes),20160720,20161031
37,24040226,Msbc Mortgage Services,0854SU000121,Summary Process,Disposed (Statistical Purposes),20080519,20080529
38,24126237,"Systems Electricial Services, INC",1514SC001264,Small Claims,Disposed (Statistical Purposes),20150810,20150921
39,24470272,Armstrong Ambulanc E Services Inc,0952SC000407,Small Claims,Disposed (Statistical Purposes),20090316,20090514
40,24483702,Armstrong Ambulanc E Services Inc,0952SC000405,Small Claims,Disposed (Statistical Purposes),20090316,20090514
41,24477087,Armstrong Amblance Services,0952SC000409,Small Claims,Disposed (Statistical Purposes),20090316,20090514
42,26821829,"Armstrong Ambulance Services, Inc.",0952SP000210,Supplementary Process,Disposed (Statistical Purposes),20090515,20090710
43,51760388,"Armstrong Ambulance Services, Inc.",0952SC001250,Small Claims,Disposed (Statistical Purposes),20090805,20091008
44,25914137,Adams Direct Mail Services,0941CV000502,Civil,Disposed (Statistical Purposes),20091022,20091214
45,28186961,"Systems and Services Technologies, Inc. as Authorised Servicing Agent for Medallion Bank",1563CV000012,Civil,Disposed (Statistical Purposes),20150123,20150430
46,71772414,"Energy Systems Services Company, Inc.",0581CV03056,Administrative Civil Actions,Closed,20050830,20061010
