,post_id,party_name,case_number,case_type,case_status,file_date,status_date
0,81885648,"Bank of New York Mellon Trust Company, N.A. as Trustee for Mortgage Assets Management Series I Trust",17 SM 003426,Servicemembers,Closed,20170413,20210129
1,82687873,"Bank of New York Mellon Trust Company, N.A. as Trustee for Mortgage Assets Management Series I Trust",21 SM 000931,Servicemembers,Closed,20210820,20220210
2,82691291,"Bank of New York Mellon Trust Company, N.A. as Trustee for Mortgage Assets Management Series I Trust",21 SM 000929,Servicemembers,Open,20210820,20210820
3,82716701,"Bank of New York Mellon Trust Company, N.A. as Trustee for Mortgage Assets Management Series I Trust",21 SM 000947,Servicemembers,Reopened,20210823,20220119
4,82721596,"Bank of New York Mellon Trust Company, N.A. as Trustee for Mortgage Assets Management Series I Trust",21 SM 000941,Servicemembers,Open,20210823,20210823
5,82773013,"Bank of New York Mellon Trust Company, N.A. as Trustee for Mortgage Assets Management Series I Trust",21 SM 000955,Servicemembers,Closed,20210824,20220128
6,83891785,"Bank of New York Mellon Trust Company, N.A. as Trustee for Mortgage Assets Management Series I Trust",20 SM 000061,Servicemembers,Closed,20200106,20200303
7,83907085,"Bank of New York Mellon Trust Company, N.A. as Trustee for Mortgage Assets Management Series I Trust",20 SM 000105,Servicemembers,Closed,20200108,20200302
8,83914347,"Bank of New York Mellon Trust Company, N.A. as Trustee for Mortgage Assets Management Series I Trust",19 SM 004222,Servicemembers,Closed,20190912,20190927
9,83943897,"Bank of New York Mellon Trust Company, N.A. as Trustee for Mortgage Assets Management Series I Trust",20 SM 000185,Servicemembers,Closed,20200113,20200313
10,83954554,"Bank of New York Mellon Trust Company, N.A. as Trustee for Mortgage Assets Management Series I Trust",20 SM 000361,Servicemembers,Closed,20200122,20201020
11,83955269,"Bank of New York Mellon Trust Company, N.A. as Trustee for Mortgage Assets Management Series I Trust",20 SM 000363,Servicemembers,Closed,20200122,20200825
12,83966023,"Bank of New York Mellon Trust Company, N.A. as Trustee for Mortgage Assets Management Series I Trust",19 SM 004436,Servicemembers,Closed,20190925,20200108
13,83980551,"Bank of New York Mellon Trust Company, N.A. as Trustee for Mortgage Assets Management Series I Trust",19 SM 004619,Servicemembers,Closed,20191003,20191119
14,83990500,"Bank of New York Mellon Trust Company, N.A. as Trustee for Mortgage Assets Management Series I Trust",20 SM 000378,Servicemembers,Closed,20200123,20200211
15,83991269,"Bank of New York Mellon Trust Company, N.A. as Trustee for Mortgage Assets Management Series I Trust",20 SM 000416,Servicemembers,Closed,20200124,20200312
16,83991661,"Bank of New York Mellon Trust Company, N.A. as Trustee for Mortgage Assets Management Series I Trust",20 SM 000666,Servicemembers,Closed,20200205,20220201
17,84000114,"Bank of New York Mellon Trust Company, N.A. as Trustee for Mortgage Assets Management Series I Trust",20 SM 000654,Servicemembers,Closed,20200205,20200831
18,84011128,"Bank of New York Mellon Trust Company, N.A. as Trustee for Mortgage Assets Management Series I Trust",20 SM 000778,Servicemembers,Closed,20200212,20200908
19,84011782,"Bank of New York Mellon Trust Company, N.A. as Trustee for Mortgage Assets Management Series I Trust",19 SM 004536,Servicemembers,Closed,20190930,20191119
20,84021345,"Bank of New York Mellon Trust Company, N.A. as Trustee for Mortgage Assets Management Series I Trust",20 SM 000703,Servicemembers,Closed,20200207,20210811
21,84021303,"Bank of New York Mellon Trust Company, N.A. as Trustee for Mortgage Assets Management Series I Trust",19 SM 004553,Servicemembers,Closed,20191001,20200114
22,84070314,"Bank of New York Mellon Trust Company, N.A. as Trustee for Mortgage Assets Management Series I Trust",19 SM 005218,Servicemembers,Closed,20191031,20191217
23,84080652,"Bank of New York Mellon Trust Company, N.A. as Trustee for Mortgage Assets Management Series I Trust",19 SM 005004,Servicemembers,Closed,20191022,20191210
24,84086646,"Bank of New York Mellon Trust Company, N.A. as Trustee for Mortgage Assets Management Series I Trust",19 SM 005086,Servicemembers,Open,20191023,20191023
25,84096062,"Bank of New York Mellon Trust Company, N.A. as Trustee for Mortgage Assets Management Series I Trust",19 SM 005524,Servicemembers,Closed,20191114,20200828
26,84142441,"Bank of New York Mellon Trust Company, N.A. as Trustee for Mortgage Assets Management Series I Trust",19 SM 005475,Servicemembers,Closed,20191112,20191231
27,84153558,"Bank of New York Mellon Trust Company, N.A. as Trustee for Mortgage Assets Management Series I Trust",19 SM 005564,Servicemembers,Closed,20191115,20200106
28,84611949,"Bank of New York Mellon Trust Company, N.A. as Trustee for Mortgage Assets Management Series I Trust",2082CV00408,Equitable Remedies,Open,20200422,20200422
29,87264763,"Bank of New York Mellon Trust Company, N.A. as Trustee for Mortgage Assets Management Series I Trust",19 SM 002386,Servicemembers,Closed,20190509,20190625
30,88573481,"Bank of New York Mellon Trust Company, N.A. as Trustee for Mortgage Assets Management Series I Trust",21 SM 000283,Servicemembers,Closed,20210311,20210427
31,83088547,"Bank Of New York Mellon Trust Company, N.a., As Trustee For Mortgage Assets Management Series I Trust",21H79SP000552,Housing Court Summary Process,Closed,20210203,20210302
32,86718379,"Mortgage Assets Management, LLC",18 SM 007848,Servicemembers,Closed,20181214,20190611
33,87668598,"Mortgage Assets Management, LLC",18 SM 005012,Servicemembers,Closed,20180730,20190916
