,post_id,party_name,case_number,case_type,case_status,file_date,status_date
0,3071226,"Reverse Mortgage Solutions, Inc.",11 MISC 444820,Servicemembers,Closed,20110124,20110524
1,4488275,"Reverse Mortgage Solutions, Inc.",14 MISC 484834,Servicemembers,Closed,20140715,20141020
2,4652158,"Reverse Mortgage Solutions, Inc.",14 MISC 485627,Servicemembers,Closed,20140815,20141215
3,14097748,"Reverse Mortgage Solutions, Inc.",13 MISC 475329,Servicemembers,Closed,20130104,20130531
4,16332177,"Reverse Mortgage Solutions, Inc.",13 MISC 478323,Servicemembers,Closed,20130625,20130904
5,49643633,"Reverse Mortgage Solutions, Inc.",14 MISC 481371,Servicemembers,Closed,20140128,20140318
6,49644985,"Reverse Mortgage Solutions, Inc.",14 MISC 481390,Servicemembers,Closed,20140128,20140318
7,49744469,"Reverse Mortgage Solutions, Inc.",14 MISC 481497,Servicemembers,Open,20140206,20140206
8,49782156,"Reverse Mortgage Solutions, Inc.",13 MISC 480694,Servicemembers,Closed,20131126,20140114
9,49893062,"Reverse Mortgage Solutions, Inc.",14 MISC 481623,Servicemembers,Closed,20140213,20140414
10,49909419,"Reverse Mortgage Solutions, Inc.",14 MISC 481581,Servicemembers,Closed,20140212,20140519
11,49930813,"Reverse Mortgage Solutions, Inc.",13 MISC 480924,Servicemembers,Closed,20131217,20140305
12,49943801,"Reverse Mortgage Solutions, Inc.",13 MISC 480963,Servicemembers,Closed,20131220,20140325
13,50245544,"Reverse Mortgage Solutions, Inc.",14 MISC 481864,Servicemembers,Closed,20140226,20140519
14,50256964,"Reverse Mortgage Solutions, Inc.",14 MISC 484540,Servicemembers,Closed,20140701,20141008
15,50272816,"Reverse Mortgage Solutions, Inc.",14 MISC 484563,Servicemembers,Open,20140702,20140702
16,50276736,"Reverse Mortgage Solutions, Inc.",14 MISC 484593,Servicemembers,Closed,20140703,20140826
17,50486294,"Reverse Mortgage Solutions, Inc.",14 MISC 482121,Servicemembers,Closed,20140307,20140530
18,50498457,"Reverse Mortgage Solutions, Inc.",14 MISC 482117,Servicemembers,Closed,20140307,20140513
19,50534380,"Reverse Mortgage Solutions, Inc.",14 MISC 482151,Servicemembers,Closed,20140311,20140827
