,post_id,party_name,case_number,case_type,case_status,file_date,status_date
0,711533,"Servicemaster by Gilmore Brothers, Inc.",1349CV000395,Civil,Disposed (Statistical Purposes),20130702,20140826
1,17582819,"Servicemaster by Gilmore Brothers, Inc.",1049SC000515,Small Claims,Disposed (Statistical Purposes),20100510,20100630
2,17582858,"Servicemaster by Gilmore Brothers, Inc.",1049SC000516,Small Claims,Disposed (Statistical Purposes),20100510,20100630
3,29865482,"Servicemaster by Gilmore Brothers, Inc.",0549SC001817,Small Claims,Disposed (Statistical Purposes),20051118,20060112
4,32707395,"Servicemaster by Gilmore Brothers, Inc.",0849CV001545,Civil,Disposed (Statistical Purposes),20081104,20090203
5,47426912,"Servicemaster by Gilmore Brothers, Inc.",0949CV001437,Civil,Disposed (Statistical Purposes),20091005,20091215
6,47426973,"Servicemaster by Gilmore Brothers, Inc.",0949CV001435,Civil,Disposed (Statistical Purposes),20091005,20100407
7,47427311,"Servicemaster by Gilmore Brothers, Inc.",0949CV001434,Civil,Disposed (Statistical Purposes),20091005,20091217
8,1145099,"Servicemaster South Shore, Inc.",1158SC001407,Small Claims,Disposed (Statistical Purposes),20111207,20120711
9,1146731,"Servicemaster South Shore, Inc.",1158SC001408,Small Claims,Disposed (Statistical Purposes),20111207,20120202
10,11172343,"Servicemaster South Shore, Inc.",1458SC000994,Small Claims,Disposed (Statistical Purposes),20141006,20141211
11,14018361,"Servicemaster South Shore, Inc.",1425SC001110,Small Claims,Disposed (Statistical Purposes),20140827,20141021
12,22125745,"Servicemaster South Shore, Inc.",0925CV001629,Civil,Disposed (Statistical Purposes),20090922,20091028
13,25407196,"Servicemaster South Shore, Inc.",1558SC001096,Small Claims,Disposed (Statistical Purposes),20151207,20160310
14,26773230,"Servicemaster South Shore, Inc.",1558SC000637,Small Claims,Disposed (Statistical Purposes),20150708,20150720
15,27336345,"Servicemaster South Shore, Inc.",1558SC000321,Small Claims,Disposed (Statistical Purposes),20150408,20150828
16,27344800,"Servicemaster South Shore, Inc.",1558SC000319,Small Claims,Disposed (Statistical Purposes),20150408,20150903
17,27345953,"Servicemaster South Shore, Inc.",1558SC000320,Small Claims,Disposed (Statistical Purposes),20150408,20150421
18,27356616,"Servicemaster South Shore, Inc.",1558SC000318,Small Claims,Disposed (Statistical Purposes),20150408,20150903
19,27445760,"Servicemaster South Shore, Inc.",1558SC000505,Small Claims,Disposed (Statistical Purposes),20150529,20150807
20,27451480,"Servicemaster South Shore, Inc.",1558SC000504,Small Claims,Disposed (Statistical Purposes),20150529,20150616
21,27578123,"Servicemaster South Shore, Inc.",1558SC000890,Small Claims,Disposed (Statistical Purposes),20150922,20151005
22,27658701,"Servicemaster South Shore, Inc.",1558SC000933,Small Claims,Disposed (Statistical Purposes),20150930,20151222
23,27724218,"Servicemaster South Shore, Inc.",0758SC000005,Small Claims,Disposed (Statistical Purposes),20070103,20070202
24,27732864,"Servicemaster South Shore, Inc.",0758SC000004,Small Claims,Disposed (Statistical Purposes),20070103,20070403
25,27942356,"Servicemaster South Shore, Inc.",0758CV000171,Civil,Disposed (Statistical Purposes),20070223,20071114
26,28176827,"Servicemaster South Shore, Inc.",0658SC001254,Small Claims,Disposed (Statistical Purposes),20060918,20061102
27,28227098,"Servicemaster South Shore, Inc.",0758SC000371,Small Claims,Disposed (Statistical Purposes),20070316,20070402
28,28586544,"Servicemaster South Shore, Inc.",0558SC000994,Small Claims,Disposed (Statistical Purposes),20050722,20050909
