,post_id,party_name,case_number,case_type,case_status,file_date,status_date
0,57925501,"Specialized Loan Servicing, LLC",14 MISC 483514,Servicemembers,Closed,20140506,20140709
1,58151307,"Specialized Loan Servicing, LLC",06 MISC 318209,Servicemembers,Closed,20060124,20060606
2,61344571,"Specialized Loan Servicing, LLC",16 SBQ 24597 02 - 001,Subsequent,Open,20160209,20160209
3,81846954,"Specialized Loan Servicing, LLC",17 SM 007960,Servicemembers,Closed,20170929,20180424
4,82618794,"Specialized Loan Servicing, LLC",1773CV00893,Equitable Remedies,Open,20171010,20171010
5,83108216,"Specialized Loan Servicing, LLC",16 SM 011763,Servicemembers,Closed,20161212,20171102
6,83924375,"Specialized Loan Servicing, LLC",19 SM 004327,Servicemembers,Closed,20190920,20191008
7,83950864,"Specialized Loan Servicing, LLC",19 SM 004242,Servicemembers,Closed,20190918,20191106
8,83969359,"Specialized Loan Servicing, LLC",19 SM 003303,Servicemembers,Closed,20190718,20190724
9,84244474,"Specialized Loan Servicing, LLC",2281CV00033,Equitable Remedies,Open,20220107,20220107
10,84861555,"Specialized Loan Servicing, LLC",2083CV00931,Contract / Business Cases,Open,20201204,20201204
11,85038724,"Specialized Loan Servicing, LLC",2284CV00026,Real Property,Open,20220106,-11130
12,86957513,"Specialized Loan Servicing, LLC",19 SM 000250,Servicemembers,Closed,20190115,20190301
13,87678017,"Specialized Loan Servicing, LLC",18 SM 005098,Servicemembers,Closed,20180802,20190104
14,87726013,"Specialized Loan Servicing, LLC",2183CV00533,Contract / Business Cases,Open,20210702,20210702
15,51556418,Specialized Loan Servicing Llc,15 SM 008744,Servicemembers,Closed,20151007,20151110
16,51729032,Specialized Loan Servicing Llc,14 MISC 487697,Servicemembers,Closed,20141029,20150406
17,53021918,Specialized Loan Servicing Llc,15 SM 010548,Servicemembers,Closed,20151201,20160217
18,53042745,Specialized Loan Servicing Llc,15 SM 010764,Servicemembers,Closed,20151204,20160912
19,54371839,Specialized Loan Servicing Llc,15 SM 006188,Servicemembers,Closed,20150728,20151029
20,54684511,Specialized Loan Servicing Llc,14 MISC 484346,Servicemembers,Closed,20140620,20140811
21,54897362,Specialized Loan Servicing Llc,14 MISC 488488,Servicemembers,Closed,20141201,20150515
22,55729103,Specialized Loan Servicing Llc,14 MISC 488862,Servicemembers,Closed,20141216,20150518
23,55932850,Specialized Loan Servicing Llc,16 SM 000113,Servicemembers,Closed,20160105,20160506
24,55955961,Specialized Loan Servicing Llc,15 SM 008066,Servicemembers,Closed,20150918,20151201
25,57768552,Specialized Loan Servicing Llc,14 MISC 483175,Servicemembers,Closed,20140422,20140612
26,57945381,Specialized Loan Servicing Llc,14 MISC 483825,Servicemembers,Open,20140520,20140520
27,58059357,Specialized Loan Servicing Llc,15 SM 000871,Servicemembers,Closed,20150211,20150707
28,58168590,Specialized Loan Servicing Llc,14 MISC 483846,Servicemembers,Closed,20140521,20140715
29,58919441,Specialized Loan Servicing Llc,14 MISC 489146,Servicemembers,Open,20141231,20141231
30,59319143,Specialized Loan Servicing Llc,15 SM 003284,Servicemembers,Closed,20150422,20150820
31,59335782,Specialized Loan Servicing Llc,16 SM 003460,Servicemembers,Open,20160404,20160404
32,59428573,Specialized Loan Servicing Llc,16 SM 003894,Servicemembers,Open,20160414,20160414
33,59668976,Specialized Loan Servicing Llc,15 SM 001278,Servicemembers,Open,20150220,20150220
34,59777981,Specialized Loan Servicing Llc,15 SM 004628,Servicemembers,Closed,20150604,20151209
35,61390921,Specialized Loan Servicing Llc,14 MISC 488876,Servicemembers,Closed,20141217,20150518
36,62730497,Specialized Loan Servicing Llc,15 SM 000390,Servicemembers,Closed,20150121,20150612
37,62732942,Specialized Loan Servicing Llc,15 SM 000398,Servicemembers,Closed,20150121,20150615
38,63332947,Specialized Loan Servicing Llc,14 MISC 484433,Servicemembers,Closed,20140625,20140821
39,70928829,Specialized Loan Servicing Llc,16 SM 005542,Servicemembers,Open,20160527,20160527
40,77678671,Specialized Loan Servicing Llc,2083CV00018,Contract / Business Cases,Open,20200108,20200108
41,81534717,Specialized Loan Servicing Llc,17 SM 009104,Servicemembers,Closed,20171120,20180904
42,81663871,Specialized Loan Servicing Llc,2169CV000060EF,Civil,Open,20210324,20211018
43,81665754,Specialized Loan Servicing Llc,17 SM 007952,Servicemembers,Closed,20170928,20181018
44,81734432,Specialized Loan Servicing Llc,17 SM 007950,Servicemembers,Closed,20170928,20180830
45,81804986,Specialized Loan Servicing Llc,17 SM 009215,Servicemembers,Closed,20171127,20180322
46,81867222,Specialized Loan Servicing Llc,17 SM 009400,Servicemembers,Closed,20171205,20180522
47,81940864,Specialized Loan Servicing Llc,17 SM 007567,Servicemembers,Closed,20170915,20180620
48,81970122,Specialized Loan Servicing Llc,17 SM 008597,Servicemembers,Closed,20171026,20171106
49,82077617,Specialized Loan Servicing Llc,17 SM 009442,Servicemembers,Closed,20171206,20180517
0,82521640,Specialized Loan Servicing Llc,18 SM 000637,Servicemembers,Open,20180131,20180131
1,82575257,Specialized Loan Servicing Llc,18 SM 000644,Servicemembers,Closed,20180131,20180516
2,82653613,Specialized Loan Servicing Llc,17 SM 008393,Servicemembers,Closed,20171018,20180928
3,82693557,Specialized Loan Servicing Llc,21 SM 000935,Servicemembers,Closed,20210820,20210910
4,82696788,Specialized Loan Servicing Llc,21 SM 000930,Servicemembers,Closed,20210820,20211005
5,82716964,Specialized Loan Servicing Llc,21 SM 000938,Servicemembers,Closed,20210823,20211005
6,82735959,Specialized Loan Servicing Llc,2043CV000135,Civil,Disposed (Statistical Purposes),20200827,20220114
7,82777527,Specialized Loan Servicing Llc,21 SM 000011,Servicemembers,Open,20210104,20210104
8,83116381,Specialized Loan Servicing Llc,19 SM 002722,Servicemembers,Closed,20190603,20190716
9,83179148,Specialized Loan Servicing Llc,19 SM 002822,Servicemembers,Closed,20190611,20191211
10,83275813,Specialized Loan Servicing Llc,19 SM 003056,Servicemembers,Closed,20190626,20190813
11,83738064,Specialized Loan Servicing Llc,17 SM 005243,Servicemembers,Closed,20170609,20180131
12,83751116,Specialized Loan Servicing Llc,17 SM 000771,Servicemembers,Closed,20170127,20180323
13,83773841,Specialized Loan Servicing Llc,19 SM 002552,Servicemembers,Closed,20190521,20190710
14,83776188,Specialized Loan Servicing Llc,17 SM 005248,Servicemembers,Closed,20170609,20181126
15,83921814,Specialized Loan Servicing Llc,20 SM 000262,Servicemembers,Closed,20200117,20200303
16,83929005,Specialized Loan Servicing Llc,2081CV00783,Contract / Business Cases,Closed,20200318,20201009
17,83938710,Specialized Loan Servicing Llc,19 SM 004199,Servicemembers,Closed,20190916,20191029
18,83950211,Specialized Loan Servicing Llc,19 SM 004243,Servicemembers,Closed,20190918,20191105
19,83976519,Specialized Loan Servicing Llc,20 SM 000255,Servicemembers,Closed,20200117,20200828
20,83981471,Specialized Loan Servicing Llc,19 SM 004653,Servicemembers,Closed,20191004,20191119
21,83983201,Specialized Loan Servicing Llc,19 SM 004611,Servicemembers,Closed,20191003,20200121
22,83992209,Specialized Loan Servicing Llc,20 SM 000646,Servicemembers,Open,20200205,20200205
23,83997981,Specialized Loan Servicing Llc,19 SM 004512,Servicemembers,Open,20190927,20190927
24,84033526,Specialized Loan Servicing Llc,20 SM 000859,Servicemembers,Open,20200214,20200214
25,84037628,Specialized Loan Servicing Llc,20 SM 000761,Servicemembers,Closed,20200211,20200303
26,84044057,Specialized Loan Servicing Llc,19 SM 004935,Servicemembers,Closed,20191018,20191204
27,84070608,Specialized Loan Servicing Llc,19 SM 005241,Servicemembers,Closed,20191031,20200128
28,84078885,Specialized Loan Servicing Llc,19 SM 005000,Servicemembers,Closed,20191021,20191210
29,84088598,Specialized Loan Servicing Llc,19 SM 005335,Servicemembers,Closed,20191105,20200825
30,84093267,Specialized Loan Servicing Llc,19 SM 005319,Servicemembers,Closed,20191104,20200306
31,84126402,Specialized Loan Servicing Llc,19 SM 005169,Servicemembers,Open,20191030,20191030
32,84146781,Specialized Loan Servicing Llc,19 SM 005451,Servicemembers,Closed,20191112,20200130
33,84375159,Specialized Loan Servicing Llc,17 SM 006497,Servicemembers,Closed,20170801,20180823
34,84415857,Specialized Loan Servicing Llc,21 SM 000284,Servicemembers,Closed,20210311,20210428
35,86666576,Specialized Loan Servicing Llc,18 SM 007618,Servicemembers,Closed,20181206,20200107
36,86674558,Specialized Loan Servicing Llc,18 SM 007786,Servicemembers,Closed,20181213,20190604
37,86695834,Specialized Loan Servicing Llc,18 SM 007809,Servicemembers,Closed,20181213,20190423
38,86709233,Specialized Loan Servicing Llc,18 SM 007662,Servicemembers,Closed,20181207,20190820
39,86842279,Specialized Loan Servicing Llc,18 SM 007950,Servicemembers,Closed,20181220,20210120
40,86916598,Specialized Loan Servicing Llc,18 SM 008086,Servicemembers,Closed,20181228,20190408
41,86978167,Specialized Loan Servicing Llc,19 SM 000279,Servicemembers,Closed,20190116,20190712
42,87056820,Specialized Loan Servicing Llc,19 SM 000366,Servicemembers,Closed,20190122,20210825
43,87070825,Specialized Loan Servicing Llc,18 SM 005950,Servicemembers,Closed,20180913,20181127
44,87084503,Specialized Loan Servicing Llc,18 SM 005947,Servicemembers,Closed,20180913,20181206
45,87096217,Specialized Loan Servicing Llc,19 SM 000556,Servicemembers,Closed,20190128,20190521
46,87125968,Specialized Loan Servicing Llc,19 SM 000625,Servicemembers,Closed,20190130,20190522
47,87168242,Specialized Loan Servicing Llc,19 SM 000739,Servicemembers,Closed,20190205,20191008
48,87181546,Specialized Loan Servicing Llc,18 SM 002863,Servicemembers,Closed,20180427,20181207
49,87187048,Specialized Loan Servicing Llc,19 SM 000760,Servicemembers,Closed,20190206,20190529
0,87263188,Specialized Loan Servicing Llc,19 SM 002380,Servicemembers,Closed,20190509,20190529
1,87270121,Specialized Loan Servicing Llc,19 SM 002344,Servicemembers,Closed,20190507,20191030
2,87301927,Specialized Loan Servicing Llc,19 SM 002398,Servicemembers,Closed,20190510,20190806
3,87643485,Specialized Loan Servicing Llc,18 SM 004993,Servicemembers,Closed,20180727,20190410
4,87650355,Specialized Loan Servicing Llc,18 SM 004986,Servicemembers,Closed,20180727,20181214
5,87684770,Specialized Loan Servicing Llc,18 SM 001509,Servicemembers,Closed,20180307,20181206
6,87703396,Specialized Loan Servicing Llc,18 SM 005160,Servicemembers,Open,20180806,20180806
7,88453652,Specialized Loan Servicing Llc,17 SM 007665,Servicemembers,Closed,20170919,20180501
8,88574348,Specialized Loan Servicing Llc,20 SM 001957,Servicemembers,Closed,20201223,20210330
9,61915352,Specialized Loan Servicing,07H83SP00218FR,Housing Court Summary Process,Closed,20070212,20070223
10,61924227,Specialized Loan Servicing,07H83SP00216FR,Housing Court Summary Process,Closed,20070212,20070223
11,81880511,Specialized Loan Servicing LLC (Subst.Pltf),17 SM 009677,Servicemembers,Closed,20171214,20180918
12,81920762,Specialized Loan Servicing LLC (Subst.Pltf),17 SM 003365,Servicemembers,Closed,20170412,20180619
13,81928394,Specialized Loan Servicing LLC (Subst.Pltf),17 SM 003251,Servicemembers,Closed,20170410,20180706
14,82536157,Specialized Loan Servicing LLC (Subst.Pltf),18 SM 000636,Servicemembers,Closed,20180131,20190118
15,82653613,Specialized Loan Servicing LLC (Subst.Pltf),17 SM 008393,Servicemembers,Closed,20171018,20180928
16,82675781,Specialized Loan Servicing LLC (Subst.Pltf),18 SM 000738,Servicemembers,Closed,20180202,20181015
17,82722171,Specialized Loan Servicing LLC (Subst.Pltf),18 SM 000782,Servicemembers,Closed,20180205,20190207
18,82741458,Specialized Loan Servicing LLC (Subst.Pltf),18 SM 000781,Servicemembers,Closed,20180205,20191108
19,83879869,Specialized Loan Servicing LLC (Subst.Pltf),17 SM 005804,Servicemembers,Closed,20170703,20201029
20,84256723,Specialized Loan Servicing LLC (Subst.Pltf),17 SM 006396,Servicemembers,Closed,20170727,20190110
21,86862454,Specialized Loan Servicing LLC (Subst.Pltf),19 SM 000090,Servicemembers,Closed,20190107,20191121
22,87010821,Specialized Loan Servicing LLC (Subst.Pltf),19 SM 000364,Servicemembers,Closed,20190118,20190905
23,87962129,Specialized Loan Servicing LLC (Subst.Pltf),18 SM 000982,Servicemembers,Closed,20180213,20180921
24,84458137,"Meb Loan Trust Iv, U.s. Bank National Association, As Trustee C/O Specialized Loan Servicing, Llc",2181CV04180,Real Property,Open,20211112,20211112
25,84991554,"Specialized Loan Servicing, LLC.",2083CV00221,Contract / Business Cases,Closed,20200311,20200630
