,post_id,party_name,case_number,case_type,case_status,file_date,status_date
0,374650,The Cadle Company,1421CV000120,Civil,Disposed (Statistical Purposes),20140506,20140613
1,1529080,The Cadle Company,1350SP000570,Supplementary Process,Disposed (Statistical Purposes),20131226,20150529
2,7702348,The Cadle Company,1026CV000683,Civil,Disposed (Statistical Purposes),20101126,20110426
3,10940468,The Cadle Company,1065SP000014,Supplementary Process,Pending,20100121,20100121
4,13101791,The Cadle Company,1064SP000039,Supplementary Process,Disposed (Statistical Purposes),20100125,20100429
5,15035652,The Cadle Company,1066SP000205,Supplementary Process,Disposed (Statistical Purposes),20100615,20101027
6,18094042,The Cadle Company,1407SP000180,Supplementary Process,Disposed (Statistical Purposes),20140612,20141107
7,18887715,The Cadle Company,1003SP000014,Supplementary Process,Disposed (Statistical Purposes),20100122,20140109
8,21287262,The Cadle Company,1507CV000644,Civil,Pending,20150805,20150805
9,23011316,The Cadle Company,0906CV000606,Civil,Disposed (Statistical Purposes),20090526,20090715
10,27426949,The Cadle Company,0549SP000230,Supplementary Process,Disposed (Statistical Purposes),20050907,20060301
11,27804695,The Cadle Company,1518CV000522,Civil,Pending,20150706,20150706
12,27891281,The Cadle Company,1521CV000276,Civil,Pending,20151103,20151103
13,27896628,The Cadle Company,1521CV000262,Civil,Disposed (Statistical Purposes),20151019,20160314
14,28068447,The Cadle Company,0658SP000217,Supplementary Process,Disposed (Statistical Purposes),20060807,20070208
15,29426337,The Cadle Company,0950SP000709,Supplementary Process,Disposed (Statistical Purposes),20090707,20091203
16,29970587,The Cadle Company,0536CV000286,Civil,Disposed (Statistical Purposes),20050321,20050831
17,31466090,The Cadle Company,1521CV000220,Civil,Pending,20150819,20150819
18,34687078,The Cadle Company,0659SP000176,Supplementary Process,Disposed (Statistical Purposes),20060424,20060629
19,34885976,The Cadle Company,0659CV000496,Civil,Disposed (Statistical Purposes),20060525,20070330
20,35564054,The Cadle Company,0610CV000868,Civil,Disposed (Statistical Purposes),20060809,20060914
21,37346943,The Cadle Company,0957SP000574,Supplementary Process,Disposed (Statistical Purposes),20091029,20091103
22,37973059,The Cadle Company,0553SP000289,Supplementary Process,Disposed (Statistical Purposes),20050826,20060324
23,45757475,The Cadle Company,0589CV000343,Civil,Disposed (Statistical Purposes),20050711,20060824
24,46264702,The Cadle Company,0689SP000177,Supplementary Process,Disposed (Statistical Purposes),20060926,20061215
25,54662128,The Cadle Company,0656CV002031,Civil,Disposed (Statistical Purposes),20060809,20061229
26,55626327,The Cadle Company,0662CV002119,Civil,Disposed (Statistical Purposes),20060913,20070413
27,57463705,The Cadle Company,0962SP000940,Supplementary Process,Disposed (Statistical Purposes),20090803,20091022
28,65499804,The Cadle Company,1651CV000389,Civil,Pending,20161024,20161024
29,65745725,The Cadle Company,0572CV00555,Contract / Business Cases,Closed,20051007,20071109
30,66374800,The Cadle Company,1482CV00869,Contract / Business Cases,Open,20140618,20150220
31,67994014,The Cadle Company,1656CV001109,Civil,Pending,20160829,20160829
32,73661992,The Cadle Company,1383CV00170,Contract / Business Cases,Closed,20130214,20131007
33,74957530,The Cadle Company,1079CV00313,Contract / Business Cases,Closed,20100401,20110722
34,78728376,The Cadle Company,9709CV0280,Civil,Disposed (Statistical Purposes),20180123,20180124
35,79764188,The Cadle Company,1621CV000287,Civil,Disposed (Statistical Purposes),20161222,20180618
36,19480207,"The Cadle Company of Connecticut, Inc.",1076CV00095,Contract / Business Cases,Closed,20100324,20140129
37,20049337,The Cadle Company Ii Inc,0908SP000099,Supplementary Process,Disposed (Statistical Purposes),20090612,20100122
38,23680270,"The Cadle Company, Inc",0847SP000081,Supplementary Process,Disposed (Statistical Purposes),20080505,20080701
39,31605180,"The Cadle Company, an Ohio Corporation",0789CV000566,Civil,Disposed (Statistical Purposes),20070806,20071024
40,73595899,"The Cadle Company II, Inc.",1685CV01372,Equitable Remedies,Open,20160915,20160915
41,85498303,"The Cadle Company II, Inc.",1785CV00260,Equitable Remedies,Open,20170214,20170214
42,64643856,The Cadle Company Assignee of the Federal Deposit as Receiver for the Home National Bank of Milford,1666SP000044,Supplementary Process,Disposed (Statistical Purposes),20160728,20161013
