,post_id,party_name,case_number,case_type,case_status,file_date,status_date
0,22801270,"Uscb, Incorporated",0549CV000419,Civil,Disposed (Statistical Purposes),20050531,20050815
1,32623834,"Uscb, Incorporated",0567SC000281,Small Claims,Disposed (Statistical Purposes),20050328,20051219
2,34216289,"Uscb, Incorporated",0562CV000580,Civil,Disposed (Statistical Purposes),20050328,20050506
3,34217422,"Uscb, Incorporated",0562CV000581,Civil,Disposed (Statistical Purposes),20050328,20050506
4,37982975,"Uscb, Incorporated",0667SP000106,Supplementary Process,Disposed (Statistical Purposes),20060531,20060925
5,50928759,"Uscb, Incorporated",0515CV000738,Civil,Disposed (Statistical Purposes),20050502,20050613
6,33044717,"Uscb, Inc., Assignee Of Toyota Motor Credit Corpor",0628CV000085,Civil,Disposed (Statistical Purposes),20060414,20060724
7,39925462,"Uscb, Ilncorporated",0559SP000322,Supplementary Process,Disposed (Statistical Purposes),20051005,20051129
8,40670722,Uscb Inc,0536SP000284,Supplementary Process,Disposed (Statistical Purposes),20051026,20051130
9,54205861,"Uscb, Inc.",0515CV000380,Civil,Disposed (Statistical Purposes),20050308,20050502
