,post_id,party_name,case_number,case_type,case_status,file_date,status_date
0,9052624,Commonwealth Financial Systems Inc.,1141SP000169,Supplementary Process,Disposed (Statistical Purposes),20110923,20120312
1,22674120,Commonwealth Financial Systems Inc.,0852CV000821,Civil,Disposed (Statistical Purposes),20080623,20080807
2,30374144,Commonwealth Financial Systems Inc.,0861CV000165,Civil,Disposed (Statistical Purposes),20080312,20081114
3,31285427,Commonwealth Financial Systems Inc.,0821CV000378,Civil,Disposed (Statistical Purposes),20080701,20090205
4,37848437,Commonwealth Financial Systems Inc.,0965CV000026,Civil,Disposed (Statistical Purposes),20090116,20090507
5,57183360,Commonwealth Financial Systems Inc.,1056SP000005,Supplementary Process,Disposed (Statistical Purposes),20100106,20100216
6,11469681,"Commonwealth Financial Systems, Inc.",1018SP000491,Supplementary Process,Disposed (Statistical Purposes),20100503,20101013
7,12285158,"Commonwealth Financial Systems, Inc.",1144CV000177,Civil,Closed (Transferred),20110414,20111213
8,15771811,"Commonwealth Financial Systems, Inc.",1060SP000489,Supplementary Process,Disposed (Statistical Purposes),20100831,20101104
9,16357654,"Commonwealth Financial Systems, Inc.",1243CV000026,Civil,Disposed (Statistical Purposes),20120113,20140626
10,19180708,"Commonwealth Financial Systems, Inc.",1203CV000073,Civil,Pending,20120712,20120712
11,21214240,"Commonwealth Financial Systems, Inc.",0802CV000316,Civil,Disposed (Statistical Purposes),20080325,20090316
12,22772870,"Commonwealth Financial Systems, Inc.",0934CV000237,Civil,Disposed (Statistical Purposes),20090220,20090414
13,24622042,"Commonwealth Financial Systems, Inc.",0964CV000731,Civil,Disposed (Statistical Purposes),20090716,20101207
14,26073445,"Commonwealth Financial Systems, Inc.",0969CV000165,Civil,Disposed (Statistical Purposes),20090226,20090414
15,26825419,"Commonwealth Financial Systems, Inc.",0938CV000913,Civil,Disposed (Statistical Purposes),20090717,20100930
16,27786741,"Commonwealth Financial Systems, Inc.",0918CV001513,Civil,Disposed (Statistical Purposes),20090717,20091104
17,29092846,"Commonwealth Financial Systems, Inc.",0913CV001645,Civil,Disposed (Statistical Purposes),20090717,20091124
18,30494597,"Commonwealth Financial Systems, Inc.",0813CV001413,Civil,Disposed (Statistical Purposes),20080707,20090327
19,31801892,"Commonwealth Financial Systems, Inc.",0889CV000823,Civil,Disposed (Statistical Purposes),20081002,20090414
20,35354871,"Commonwealth Financial Systems, Inc.",0859CV000956,Civil,Disposed (Statistical Purposes),20080620,20090226
21,37636282,"Commonwealth Financial Systems, Inc.",0767CV001007,Civil,Disposed (Statistical Purposes),20071211,20080310
22,38344828,"Commonwealth Financial Systems, Inc.",0960CV000083,Civil,Disposed (Statistical Purposes),20090116,20091030
23,40930942,"Commonwealth Financial Systems, Inc.",0959SP000365,Supplementary Process,Disposed (Statistical Purposes),20090521,20090716
24,41964614,"Commonwealth Financial Systems, Inc.",0831CV001617,Civil,Disposed (Statistical Purposes),20081006,20090112
25,42624754,"Commonwealth Financial Systems, Inc.",0851CV000903,Civil,Disposed (Statistical Purposes),20081006,20090210
26,42703755,"Commonwealth Financial Systems, Inc.",0844CV000549,Civil,Disposed (Statistical Purposes),20080731,20081209
27,42777604,"Commonwealth Financial Systems, Inc.",0951SP000183,Supplementary Process,Disposed (Statistical Purposes),20090519,20090602
28,46380025,"Commonwealth Financial Systems, Inc.",0714CV000329,Civil,Disposed (Statistical Purposes),20070326,20080429
29,47079300,"Commonwealth Financial Systems, Inc.",0864CV000095,Civil,Disposed (Statistical Purposes),20080125,20080505
30,47415926,"Commonwealth Financial Systems, Inc.",0948SP000241,Supplementary Process,Disposed (Statistical Purposes),20090902,20091112
31,52228973,"Commonwealth Financial Systems, Inc.",0815CV000426,Civil,Disposed (Statistical Purposes),20080213,20081021
32,55388001,"Commonwealth Financial Systems, Inc.",0823CV003216,Civil,Disposed (Statistical Purposes),20080929,20090729
33,56832184,"Commonwealth Financial Systems, Inc.",0815CV001409,Civil,Disposed (Statistical Purposes),20080520,20090120
34,59047526,"Commonwealth Financial Systems, Inc.",0823CV002197,Civil,Disposed (Statistical Purposes),20080707,20081107
35,70327083,"Commonwealth Financial Systems, Inc.",1001SP000103,Supplementary Process,Closed,20100504,20100504
36,70328341,"Commonwealth Financial Systems, Inc.",1001SP000105,Supplementary Process,Closed,20100504,20100504
37,76352475,"Commonwealth Financial Systems, Inc.",0801CV000578,Civil,Closed,20080206,20080606
38,14317657,"Commonwealth Financial Systems, Inc",1069SP000173,Supplementary Process,Disposed (Statistical Purposes),20100503,20101112
39,17246725,"Commonwealth Financial Systems, Inc",1140CV000103,Civil,Disposed (Statistical Purposes),20110623,20110914
40,21446611,"Commonwealth Financial Systems, Inc",0903CV000160,Civil,Disposed (Statistical Purposes),20090720,20101123
41,33368201,"Commonwealth Financial Systems, Inc",0945CV000030,Civil,Disposed (Statistical Purposes),20090120,20100226
42,38213831,"Commonwealth Financial Systems, Inc",0953CV001265,Civil,Disposed (Statistical Purposes),20090717,20100624
43,55161745,"Commonwealth Financial Systems, Inc",0807SP001302,Supplementary Process,Disposed (Statistical Purposes),20081210,20090227
44,15994855,Commonwealth Financial Systems Inc,1141CV000165,Civil,Disposed (Statistical Purposes),20110506,20110629
45,27853320,Commonwealth Financial Systems Inc,0841CV000363,Civil,Disposed (Statistical Purposes),20080801,20090209
46,30385325,Commonwealth Financial Systems Inc,0750SP000341,Supplementary Process,Disposed (Statistical Purposes),20070518,20071004
47,31951759,Commonwealth Financial Systems Inc,0986SP000430,Supplementary Process,Disposed (Statistical Purposes),20091125,20100209
48,34612422,Commonwealth Financial Systems Inc,0956CV002351,Civil,Disposed (Statistical Purposes),20090716,20090918
49,35659678,Commonwealth Financial Systems Inc,0856CV001646,Civil,Disposed (Statistical Purposes),20080529,20090128
0,47498317,Commonwealth Financial Systems Inc,0956SP000505,Supplementary Process,Disposed (Statistical Purposes),20090320,20090505
1,61674590,Commonwealth Financial Systems Inc,0750CV000436,Civil,Disposed (Statistical Purposes),20070307,20070418
2,67386593,Commonwealth Financial Systems Inc,0979CV00506,Contract / Business Cases,Open,20090518,20110408
3,68789350,Commonwealth Financial Systems Inc,0779CV01234,Contract / Business Cases,Closed,20071221,20080610
4,33273234,Commonwealth Financial Systems,0826CV000278,Civil,Disposed (Statistical Purposes),20080528,20080822
5,46460729,Commonwealth Financial Systems,0723CV003857,Civil,Disposed (Statistical Purposes),20071217,20080318
6,59061924,Commonwealth Financial Systems,0823SP000774,Supplementary Process,Disposed (Statistical Purposes),20080707,20080919
7,33802164,"Commonwealth Financial Systems , Inc",0986CV000594,Civil,Disposed (Statistical Purposes),20090717,20090917
8,34648346,"Commonwealth Financial Systems, Inc. Assignee",0759SP000221,Supplementary Process,Disposed (Statistical Purposes),20070531,20070919
9,34793618,Commonwealth Financial Systems Assignee Citibank U,0759CV000215,Civil,Disposed (Statistical Purposes),20070220,20070508
10,37502759,"Commonwealth Financial Systems, In.",0931CV000289,Civil,Disposed (Statistical Purposes),20090212,20140430
11,69720359,"Commonwealth Financial Systems,Inc.",1101SP000076,Supplementary Process,Open,20110329,20110518
